rainfall_mm_24h,soil_moisture_pct,slope_deg,temperature_c,landslide_occurred
20.3,18.1,36.0,27.7,0
226.3,70.3,32.5,18.1,1
54.9,20.5,49.1,22.8,0
27.3,19.4,12.8,6.0,0
118.9,49.8,49.3,10.9,0
74.7,41.5,2.9,32.6,0
96.4,34.7,36.1,20.3,1
80.4,39.0,25.0,14.0,0
7.8,32.6,21.2,21.5,0
35.9,9.0,27.1,13.7,0
34.7,28.6,15.0,18.3,0
141.8,44.0,12.6,11.3,1
76.8,26.6,48.7,15.3,1
107.1,49.9,15.2,17.5,0
57.5,27.8,44.7,26.7,0
110.8,33.1,43.3,22.8,0
66.4,52.5,3.9,23.8,0
62.7,46.7,53.1,19.8,1
85.7,18.2,47.8,24.9,1
80.4,22.4,48.2,14.8,1
336.9,100.0,48.9,15.6,1
35.5,25.5,35.8,22.4,0
18.1,42.5,59.6,18.3,0
94.9,51.1,12.4,19.9,0
40.1,33.6,6.2,19.0,0
6.6,9.4,42.8,27.5,0
28.7,33.1,19.0,27.8,0
290.7,77.4,37.3,16.2,1
34.7,44.3,24.7,9.4,1
12.2,28.1,21.3,15.7,0
279.2,79.9,53.8,14.6,1
27.6,36.6,10.2,25.0,0
400.0,100.0,13.0,25.5,0
55.6,31.3,40.7,13.8,1
226.9,83.3,47.4,15.5,1
61.6,30.2,50.3,11.1,0
103.2,46.8,15.4,20.8,0
67.5,18.8,53.2,19.7,1
62.0,35.5,37.4,24.7,0
89.3,42.9,49.7,23.0,1
105.9,68.1,6.0,23.7,0
84.4,19.6,22.7,10.7,0
78.1,36.2,32.4,16.2,0
40.4,45.6,35.5,25.7,0
69.5,34.5,7.7,16.8,0
208.6,70.1,33.2,10.2,1
38.8,19.7,40.6,24.8,1
91.2,31.6,23.0,16.5,0
167.7,40.0,31.0,26.4,0
106.5,39.1,19.0,19.9,1
142.8,43.8,52.5,18.3,1
27.2,28.2,36.8,28.2,0
91.4,33.4,34.0,12.2,0
59.3,29.1,56.8,28.6,1
61.3,29.9,40.6,16.2,0
197.1,68.7,18.2,21.0,1
62.1,29.2,39.2,21.0,0
93.5,30.6,57.8,17.4,1
12.2,24.1,3.4,15.4,0
226.8,89.5,38.3,17.8,1
137.2,55.8,11.1,13.9,0
71.5,30.6,49.4,31.8,1
57.2,32.8,39.2,17.1,0
114.2,23.9,56.3,27.0,0
166.3,59.9,40.8,26.2,1
228.8,72.4,3.0,22.2,1
134.1,42.3,31.6,19.2,1
78.9,30.7,54.4,21.2,0
148.4,52.2,15.5,23.4,1
130.2,64.5,6.8,20.6,0
79.2,52.9,43.8,10.6,0
127.6,40.8,31.1,9.1,1
126.0,45.3,4.8,29.1,0
71.2,31.9,18.2,4.2,0
48.7,41.9,21.0,21.2,0
118.5,51.4,40.7,18.6,0
30.2,28.7,29.4,21.0,0
24.2,32.5,30.3,13.2,0
94.6,36.5,48.8,22.1,0
116.2,65.4,18.1,21.2,1
94.1,43.5,41.0,36.6,1
101.7,35.2,23.3,20.8,0
114.8,46.0,26.3,28.1,0
197.6,84.2,34.2,11.0,1
135.7,48.8,42.3,26.1,0
132.9,64.6,56.8,21.4,1
89.4,34.8,17.6,21.6,0
91.8,33.8,8.0,21.7,0
66.8,44.6,26.9,30.2,0
99.6,34.4,33.7,21.5,0
28.8,37.1,15.2,15.3,0
198.2,73.8,53.6,16.3,1
36.7,18.7,48.3,24.9,0
135.5,53.0,30.6,22.7,1
181.7,58.8,28.1,10.8,0
135.3,58.0,4.4,23.1,0
307.8,100.0,33.1,13.5,1
8.4,17.7,36.6,22.6,0
51.4,39.3,53.7,15.2,1
179.7,65.2,31.1,18.3,1
23.3,26.1,11.1,16.7,0
37.7,27.4,12.4,29.1,0
109.8,37.2,11.3,22.4,0
78.2,43.6,56.4,27.6,1
105.0,42.8,48.0,37.4,0
83.3,30.0,49.8,20.3,0
89.1,54.4,50.7,29.0,1
41.1,31.5,7.5,15.8,0
87.0,39.0,42.7,27.5,0
54.4,49.7,42.9,15.2,1
60.6,13.1,15.0,19.9,0
134.2,68.8,30.5,23.2,1
22.1,15.0,40.4,24.2,0
4.7,23.7,54.0,12.4,0
127.5,44.8,8.4,14.8,0
87.1,30.7,53.7,23.7,0
181.6,81.2,55.5,17.8,1
38.6,51.9,55.6,11.6,1
69.4,34.7,2.3,19.6,0
80.5,44.1,14.8,19.3,0
45.5,32.1,42.1,21.1,1
34.3,49.3,20.7,23.2,0
132.0,27.7,5.5,22.8,0
19.9,29.5,46.3,15.4,0
29.3,18.6,3.7,17.5,0
67.6,8.6,27.9,25.6,0
142.9,51.4,57.0,16.7,1
48.1,54.2,27.5,17.6,0
43.0,22.9,54.9,11.0,0
64.5,45.6,25.7,19.8,0
98.1,58.9,22.1,22.1,0
56.8,34.0,8.2,8.1,0
155.7,60.4,22.8,13.6,1
160.2,39.4,21.5,11.5,0
67.6,28.3,51.1,24.7,1
255.0,94.6,55.4,8.5,1
79.1,40.5,3.3,19.5,1
156.5,63.5,7.7,24.3,1
96.1,45.6,39.3,21.1,1
94.8,70.0,30.1,17.4,0
15.4,18.7,19.2,22.1,0
27.0,46.0,17.1,26.2,0
59.2,36.4,15.0,19.4,0
159.3,80.2,32.5,6.6,0
97.1,29.6,3.0,26.9,0
59.7,37.1,44.9,22.4,0
117.0,44.5,19.4,19.8,0
155.3,60.5,26.8,8.1,0
75.4,53.5,32.6,18.2,1
88.7,46.7,14.3,14.7,0
80.4,54.8,53.3,12.7,1
71.7,29.9,41.6,19.2,0
38.2,19.7,52.5,16.8,0
35.6,29.1,29.6,17.2,0
116.5,48.7,27.1,24.4,0
157.4,57.1,15.8,21.5,0
59.6,23.4,33.6,17.0,0
58.5,49.0,36.4,16.3,0
11.0,18.4,26.4,17.3,0
8.6,39.3,10.4,18.5,0
185.4,66.5,17.8,23.5,0
40.5,37.9,2.8,13.7,0
321.8,100.0,20.5,28.8,1
47.0,21.8,35.7,23.5,0
16.0,28.4,57.4,3.6,1
80.9,63.4,12.3,20.5,0
131.0,55.8,5.2,26.2,0
120.9,61.0,19.2,22.3,1
140.2,63.4,11.1,17.5,0
31.6,31.6,42.3,19.6,0
182.4,67.8,2.3,21.1,0
189.7,74.0,58.9,24.6,1
195.3,78.0,51.6,11.5,1
91.0,26.5,30.5,16.4,0
55.9,36.9,55.4,29.8,1
51.8,30.8,38.4,20.2,1
15.9,19.3,59.6,29.2,1
47.9,47.5,18.1,37.9,0
4.2,12.2,59.8,17.0,1
13.5,6.6,12.5,12.8,0
90.3,52.1,22.5,18.4,0
61.2,18.3,56.2,26.6,0
87.4,18.7,23.5,27.4,0
124.0,61.9,14.2,33.6,0
99.7,46.8,5.5,19.8,0
93.6,49.1,10.6,22.9,0
70.1,32.2,22.6,15.7,0
39.2,13.2,26.4,5.0,0
23.4,11.6,33.5,19.8,0
48.9,29.0,49.2,13.1,0
71.0,22.5,2.8,23.9,0
78.0,43.2,50.8,8.7,0
140.4,49.5,35.5,15.6,1
66.1,38.7,45.9,21.6,1
111.6,49.8,45.9,22.2,1
18.4,29.2,54.4,19.7,1
91.3,48.8,7.4,31.2,0
86.6,37.5,35.1,29.4,0
182.5,67.8,54.7,15.9,1
61.3,38.1,43.7,29.7,0
59.2,5.7,7.6,30.6,0
124.6,58.9,37.6,19.3,0
25.3,28.1,48.4,20.3,0
89.5,49.2,17.9,19.7,0
24.0,10.6,38.7,16.1,1
238.4,75.8,50.7,16.7,1
53.0,20.1,32.4,27.9,0
22.5,34.6,13.3,22.6,0
48.6,15.3,33.9,16.7,1
89.9,31.3,36.1,14.4,1
109.1,53.7,25.4,15.5,1
176.1,56.5,41.4,19.0,1
43.8,19.8,27.1,25.5,1
128.6,63.0,52.9,14.8,1
13.5,34.8,47.9,25.4,1
29.5,36.0,48.7,21.2,1
19.0,34.9,32.5,20.9,0
37.2,26.5,13.4,26.2,0
124.6,48.7,44.0,25.1,1
44.7,23.4,6.0,11.6,0
52.2,35.1,32.0,13.5,0
91.7,36.6,5.1,18.6,0
105.8,41.3,32.6,22.1,1
53.5,40.6,41.8,28.2,1
29.3,41.5,26.3,20.4,0
212.9,78.0,26.2,30.2,1
53.8,55.0,9.1,15.8,0
58.4,26.1,19.5,16.8,0
64.5,14.1,27.8,18.2,1
114.0,57.1,52.1,15.1,0
17.4,15.1,54.1,27.0,0
268.6,83.9,57.3,3.4,1
57.1,13.0,7.8,17.0,0
116.7,38.4,19.2,26.9,0
22.7,7.7,28.8,18.1,0
85.0,36.0,39.2,26.4,0
241.7,75.7,42.8,33.2,1
219.6,76.0,47.6,20.5,1
114.6,63.5,30.8,27.0,0
35.0,36.9,34.3,34.5,0
169.8,43.0,57.7,22.4,1
13.4,30.6,15.9,19.7,0
33.8,29.8,48.6,25.4,0
70.4,36.4,43.3,27.1,0
14.8,23.4,10.1,19.8,0
48.5,34.6,55.7,17.1,0
130.5,44.3,51.6,30.3,1
40.7,28.0,47.2,18.4,1
134.8,67.9,9.4,27.2,0
316.0,90.6,10.1,21.6,1
99.9,32.6,41.6,31.0,0
133.2,52.5,8.2,14.9,1
173.8,49.9,8.6,14.9,1
52.4,12.4,25.2,25.1,0
131.0,48.6,2.3,13.2,0
51.4,50.2,43.8,20.7,0
94.8,43.2,33.3,29.3,0
145.0,58.4,6.5,9.3,1
36.5,5.0,33.5,22.4,0
4.8,26.5,5.1,27.3,0
33.4,29.5,6.1,19.8,0
160.0,52.0,30.2,14.4,1
29.6,29.6,31.0,18.4,0
154.0,60.5,21.7,15.0,1
33.6,15.7,38.1,20.4,0
62.9,39.7,24.5,18.3,0
74.2,52.9,36.0,16.9,1
29.5,24.6,22.3,22.8,0
63.4,25.4,43.5,29.5,0
15.9,21.8,35.6,22.0,0
56.4,44.4,11.3,28.1,0
69.6,22.7,41.8,29.5,0
5.2,28.2,47.5,16.5,1
33.1,20.2,5.8,21.6,0
92.6,46.1,37.4,17.5,0
26.3,19.8,47.8,11.1,1
104.1,39.2,8.6,22.1,0
111.6,66.2,54.3,13.7,1
92.3,26.2,26.1,22.9,0
129.9,58.3,44.8,10.7,1
14.8,44.5,54.1,21.0,0
149.5,65.6,59.4,10.6,1
30.0,11.5,35.9,24.0,0
80.9,24.8,42.8,17.6,0
235.4,69.8,16.6,17.1,0
55.4,35.7,18.8,26.8,0
75.7,41.6,51.3,18.1,0
30.1,12.3,25.1,20.7,0
233.9,68.0,49.7,18.8,1
33.2,18.6,4.9,23.0,0
118.6,47.5,14.7,26.3,0
173.5,87.2,11.9,25.0,1
126.7,40.5,32.6,17.2,0
96.6,32.4,6.7,27.3,1
80.0,26.4,21.9,14.5,0
22.5,33.3,59.2,15.5,1
227.0,76.2,48.1,19.2,1
90.8,32.0,46.1,26.3,1
75.7,34.6,9.8,13.0,0
27.7,17.4,23.1,25.3,0
78.6,43.2,41.5,19.7,0
72.1,70.2,3.3,17.4,0
235.4,85.5,27.2,26.6,1
75.7,37.8,55.9,15.2,0
77.6,31.4,6.8,33.7,0
28.1,10.9,54.6,18.9,0
39.5,38.7,13.3,20.9,0
108.8,55.4,13.0,29.3,0
11.7,17.3,13.3,21.1,0
149.0,71.8,56.0,27.1,1
151.8,58.2,37.0,8.3,1
35.8,38.3,45.5,17.3,0
96.9,47.8,23.3,22.4,1
177.4,62.2,52.6,26.5,1
67.6,25.4,35.8,24.6,1
57.9,32.7,36.8,24.1,0
63.9,46.1,45.6,26.4,0
90.7,36.6,46.9,22.9,1
44.1,36.3,41.5,7.1,1
54.0,20.5,8.9,28.7,0
92.0,52.4,52.3,15.0,0
50.4,36.3,17.1,21.9,0
25.7,12.0,59.8,21.1,0
10.5,19.9,24.4,20.3,0
76.8,50.4,9.0,13.4,0
170.0,47.4,20.3,8.4,0
100.4,32.3,35.3,14.0,0
26.7,25.8,24.7,25.0,0
39.2,55.4,50.1,11.3,0
57.6,26.3,41.6,14.7,0
240.4,86.0,14.4,22.5,1
249.0,85.4,33.3,13.8,1
230.0,70.4,47.7,16.7,1
82.9,42.7,53.7,20.5,1
400.0,100.0,24.9,21.7,1
41.0,25.9,55.6,13.7,0
55.9,14.0,4.1,20.8,0
141.1,55.0,41.2,22.4,0
92.4,53.9,47.4,12.4,0
96.3,44.8,26.7,21.3,0
31.2,40.9,2.6,15.7,0
71.7,44.9,41.8,20.7,0
41.5,29.7,21.9,24.3,0
20.9,17.7,10.8,18.9,0
45.9,25.6,11.1,25.5,0
92.4,25.5,46.6,24.7,1
125.4,48.2,12.9,25.4,1
10.0,24.3,30.1,22.4,0
74.3,59.2,58.3,26.6,1
69.2,43.6,46.0,22.3,0
88.9,31.8,33.7,10.0,0
27.2,9.5,32.6,15.2,0
27.7,24.5,11.7,18.7,0
173.1,73.0,27.9,19.5,1
36.3,26.4,10.4,22.1,0
53.7,39.9,6.8,15.2,0
58.3,32.4,8.3,32.1,0
42.2,39.1,37.2,19.4,1
106.4,27.4,13.2,20.0,1
100.0,64.2,10.7,16.0,1
66.8,23.3,52.3,14.0,0
44.3,40.6,9.1,19.2,0
62.7,32.4,42.9,20.2,0
79.1,38.4,26.2,19.5,1
39.3,26.9,35.6,29.9,1
112.1,51.1,3.4,19.2,0
148.2,62.5,2.0,19.5,0
193.2,81.0,49.4,24.9,1
185.4,83.2,29.6,19.0,1
58.0,38.5,6.1,23.2,0
82.1,61.1,21.9,12.3,0
65.8,37.6,31.4,12.4,1
65.6,49.3,9.9,20.7,0
62.3,40.7,33.7,18.6,0
75.4,32.2,32.7,15.1,0
165.1,63.5,37.0,20.7,0
94.5,49.7,49.0,21.3,0
26.0,26.1,25.9,15.7,0
144.0,60.9,53.5,16.9,1
88.0,52.4,29.5,21.3,0
107.3,46.5,28.5,13.9,1
93.1,7.9,40.0,16.4,1
96.3,64.2,37.8,23.2,0
99.5,41.3,2.7,19.9,0
12.8,13.3,59.0,17.1,0
106.3,33.1,56.7,14.6,0
40.8,26.2,18.3,13.9,0
50.2,25.8,34.4,19.2,0
74.9,29.9,46.7,32.2,0
213.6,65.2,55.4,23.4,1
30.5,34.0,36.0,12.0,0
73.0,62.6,3.1,24.2,0
61.1,45.1,41.5,15.4,0
142.5,69.1,7.4,20.0,0
59.7,30.4,40.9,16.5,0
88.7,43.4,36.1,32.1,0
30.6,32.8,39.2,13.2,0
159.2,51.9,13.0,21.9,0
19.1,19.7,30.6,15.9,0
105.3,56.6,37.8,24.4,1
89.1,55.4,19.4,21.8,0
98.9,45.5,12.5,27.5,0
19.4,10.5,14.9,24.3,0
58.8,31.1,51.8,15.8,0
137.8,37.2,28.9,37.5,0
235.0,79.7,40.3,23.3,0
68.8,40.3,31.9,16.7,0
129.0,49.0,50.4,21.2,1
82.9,43.6,31.5,23.8,0
71.6,42.9,7.4,23.6,0
53.4,36.4,13.5,23.0,0
75.2,24.4,2.8,25.8,0
121.1,47.2,50.2,25.2,1
128.1,56.9,40.5,14.9,0
23.7,44.9,46.0,32.6,0
49.5,29.1,43.5,31.8,1
29.2,33.9,49.8,24.8,0
78.1,50.1,59.2,20.2,0
57.1,31.9,39.9,20.3,0
96.5,57.9,16.6,18.1,0
101.4,59.8,7.9,18.8,1
6.3,38.1,36.2,6.9,0
74.7,44.2,46.7,29.2,1
167.3,90.2,34.6,27.1,1
49.5,25.0,19.6,9.9,0
48.3,57.6,43.7,25.3,0
148.1,66.2,28.0,20.0,1
132.2,69.1,18.6,18.8,0
32.1,24.2,50.8,23.0,1
123.3,61.0,35.4,9.5,1
38.9,46.8,18.4,19.9,1
47.9,18.9,21.1,20.5,0
32.1,26.1,35.2,20.5,0
23.5,5.0,26.5,11.8,0
81.6,38.2,11.3,22.7,1
20.1,15.2,37.4,26.4,0
84.0,38.4,42.0,22.4,1
82.1,75.6,2.0,18.6,1
66.4,57.2,33.1,36.1,1
51.5,15.6,35.5,14.5,0
43.4,37.5,21.3,24.6,0
28.4,36.7,21.6,21.5,0
194.2,64.5,20.4,32.1,0
64.1,38.2,27.8,22.3,0
62.5,38.9,49.1,23.6,1
33.5,12.2,29.2,23.0,0
180.7,52.8,59.6,13.7,1
45.8,33.5,23.8,14.8,0
90.1,43.7,42.6,18.3,0
103.0,37.3,33.8,25.7,0
81.6,30.9,46.2,21.4,0
19.6,23.8,53.5,18.8,0
119.7,60.6,31.7,28.2,1
45.4,30.4,30.7,8.1,0
131.3,72.3,56.7,12.2,0
71.2,29.4,56.2,5.0,0
107.6,49.2,59.8,27.2,1
172.8,58.9,11.1,19.4,0
116.6,56.2,2.2,25.8,0
109.4,38.0,27.4,19.3,1
123.5,74.0,44.5,26.1,1
37.7,9.1,6.2,19.2,0
135.2,74.4,23.7,22.5,1
60.3,36.2,35.7,21.6,0
61.9,42.1,14.3,22.0,0
79.7,55.9,44.4,30.1,0
55.9,44.3,15.3,10.3,1
31.0,19.0,50.8,19.6,1
75.2,46.0,22.2,21.2,0
62.1,57.9,36.7,20.3,1
60.4,24.4,33.6,17.6,0
69.4,62.8,19.2,16.8,1
7.2,26.4,27.5,29.2,0
60.7,30.0,51.1,19.6,0
187.3,56.1,33.8,34.6,1
177.5,61.7,5.2,23.2,0
77.2,15.8,43.4,18.3,0
75.2,33.8,12.6,23.3,1
4.8,18.1,30.2,20.7,0
47.7,19.0,29.2,28.1,0
122.7,59.6,30.2,13.0,0
54.8,31.1,3.8,9.2,0
152.2,50.4,17.8,22.2,0
146.0,52.6,4.9,25.0,0
46.9,36.0,26.1,21.7,0
81.6,41.3,38.0,24.0,0
197.2,60.9,39.9,23.2,1
19.1,26.3,5.7,11.1,0
55.8,33.3,8.9,21.7,1
17.1,10.6,40.4,27.9,1
35.3,25.4,32.8,21.0,0
235.9,85.9,50.3,12.1,1
55.8,40.8,13.9,18.0,0
9.8,19.7,9.0,23.3,0
30.7,35.8,23.0,30.8,0
15.2,12.0,38.9,8.3,0
84.0,29.6,30.2,22.2,0
102.0,42.5,7.7,14.4,0
136.4,72.1,6.1,23.0,1
118.1,51.5,41.3,23.5,1
20.1,21.7,19.2,18.6,0
98.3,63.1,40.8,23.8,1
67.1,33.3,19.1,26.8,0
150.1,84.3,20.3,19.0,1
127.6,45.8,14.2,12.0,0
256.3,71.9,59.1,28.6,1
33.0,26.3,2.9,25.0,0
28.8,24.2,9.4,23.4,0
50.2,22.8,50.5,15.9,1
69.2,68.5,10.0,25.9,0
42.3,34.4,18.3,32.3,0
34.6,34.2,17.2,19.3,1
93.6,37.9,42.4,20.6,1
50.0,25.6,25.8,13.6,0
40.7,42.5,50.8,15.7,0
20.1,5.0,45.4,13.6,0
5.5,7.7,32.8,20.8,0
181.3,62.4,16.4,18.0,1
177.7,80.6,48.0,22.2,1
130.3,48.1,52.2,14.6,0
109.7,52.4,50.5,19.0,0
46.2,31.9,5.0,14.3,0
112.9,63.8,42.5,21.1,1
26.9,7.7,42.8,10.2,0
80.1,48.9,56.7,20.9,0
37.7,27.0,17.3,18.3,1
113.3,59.4,47.6,21.1,1
206.1,61.7,42.0,10.1,1
30.6,27.9,53.0,23.9,1
48.2,30.8,42.2,18.2,0
79.0,27.7,51.4,21.3,0
11.4,7.5,22.9,8.8,0
16.0,17.0,11.1,12.5,0
202.1,72.1,23.1,17.7,0
93.9,34.4,49.3,28.3,0
44.1,27.1,9.6,23.2,0
72.8,15.6,39.0,20.8,0
50.3,28.1,59.3,14.5,1
80.8,52.5,53.9,13.4,0
51.9,41.4,40.9,21.7,0
68.5,36.1,48.0,24.2,0
120.4,53.0,8.8,21.3,0
115.0,38.8,30.9,30.3,0
194.6,88.2,32.9,15.9,1
98.8,69.5,47.4,21.1,1
76.4,41.1,18.4,9.8,0
214.0,100.0,8.2,21.3,1
63.0,27.6,42.5,28.8,0
6.4,6.6,30.6,13.8,0
131.4,44.3,50.9,25.1,0
90.5,40.0,29.9,28.6,0
73.7,66.2,51.1,15.9,1
133.8,50.1,31.5,22.8,0
52.3,22.8,47.4,29.5,0
6.8,10.9,43.8,21.4,0
135.6,67.6,17.4,24.7,0
42.8,42.7,19.9,9.4,1
31.7,22.1,54.2,23.6,0
7.4,5.0,15.4,23.1,0
127.9,38.4,42.5,12.0,0
3.5,41.5,10.4,14.2,0
171.8,71.2,45.8,23.6,0
56.6,34.9,15.0,18.2,0
132.1,75.5,36.5,26.7,1
101.0,68.8,34.7,21.9,1
240.2,79.6,13.8,20.3,1
99.0,44.5,30.5,19.0,1
167.6,54.9,53.0,21.8,1
46.9,28.3,41.5,24.8,1
15.9,6.1,59.6,23.2,0
146.4,38.7,47.5,17.5,0
15.4,5.0,39.3,27.4,0
126.9,64.7,34.7,23.9,1
28.3,8.3,56.4,22.3,0
91.8,66.4,32.6,20.6,1
243.2,72.0,25.4,23.0,1
120.1,70.9,50.4,9.0,1
63.3,31.4,56.5,21.4,0
102.7,26.9,29.8,29.8,0
48.4,47.5,10.0,21.3,0
305.1,100.0,37.3,20.5,1
40.0,19.1,45.0,16.4,0
68.8,33.2,23.7,23.0,0
112.6,37.3,45.4,18.8,0
97.4,42.9,32.8,27.9,0
105.5,47.7,19.5,14.8,1
49.2,28.1,38.5,17.3,0
61.2,13.5,24.6,16.4,0
141.8,48.5,47.6,31.0,1
137.1,62.7,2.2,18.9,0
99.1,42.3,49.5,16.7,0
181.7,61.5,19.8,7.5,1
145.7,45.3,57.7,14.5,0
134.2,46.2,46.0,23.2,0
15.1,40.7,16.0,23.1,0
98.2,30.9,58.8,16.1,0
85.8,50.1,31.0,16.4,0
197.3,69.9,32.3,31.2,1
65.8,39.4,54.8,36.2,1
80.6,31.4,55.3,26.9,0
27.9,22.8,42.4,29.4,0
33.4,28.3,58.8,30.6,1
197.7,63.2,21.1,33.3,1
105.2,50.3,15.5,18.2,1
243.6,86.4,3.7,14.7,1
64.9,62.3,22.1,31.0,0
19.3,28.2,37.0,14.2,0
57.7,11.5,19.7,13.8,0
49.9,46.4,35.6,14.0,0
123.0,48.3,4.8,19.2,0
119.6,74.0,22.5,8.1,1
108.9,64.9,45.4,11.4,0
293.4,87.3,8.1,16.3,1
174.7,72.3,43.5,12.8,1
35.6,21.8,46.3,26.4,0
149.0,57.3,35.0,20.0,0
76.6,47.3,53.4,23.5,1
63.5,49.2,57.4,22.8,1
189.4,78.1,4.0,18.8,1
33.5,29.3,41.4,25.9,0
142.3,85.4,15.8,22.7,1
127.2,47.4,25.7,18.1,0
32.9,8.9,38.1,9.9,0
14.5,6.6,43.3,23.1,1
70.3,55.3,50.7,12.4,0
160.8,59.3,42.9,22.3,1
98.0,46.4,47.1,20.5,0
193.5,61.9,36.7,11.8,1
93.1,37.9,8.8,21.6,0
202.1,61.1,3.2,21.1,1
45.5,37.0,32.7,21.2,0
108.7,46.0,43.5,20.9,1
54.3,38.8,8.3,16.1,0
68.6,41.2,26.9,23.5,0
80.4,35.0,16.9,15.9,0
97.7,26.9,34.9,13.6,1
40.3,11.5,24.6,24.0,0
105.0,82.6,13.7,25.6,0
77.4,57.1,2.3,23.6,0
20.5,41.2,20.6,18.8,0
12.0,14.9,31.9,8.4,0
161.2,60.4,55.9,28.9,1
65.9,26.7,15.2,8.3,1
18.2,8.8,31.7,23.5,0
224.2,69.0,34.9,32.7,1
112.7,64.1,39.7,20.9,0
95.8,54.1,21.1,21.7,1
37.1,17.6,7.8,22.3,0
20.2,21.3,55.4,21.2,0
85.9,50.5,57.3,34.1,1
73.7,31.6,27.4,14.9,0
28.4,28.0,35.7,14.2,0
27.4,31.7,3.7,18.0,1
26.1,31.2,4.7,30.4,0
25.2,29.3,6.4,16.5,0
44.3,23.2,44.8,22.6,0
95.9,37.4,15.2,26.4,0
107.9,33.4,12.7,24.7,0
72.5,19.4,2.5,26.1,0
83.0,39.4,3.3,28.5,1
111.6,57.7,25.5,21.8,1
8.5,5.6,33.4,17.3,0
87.9,45.2,35.6,20.9,1
180.0,74.4,28.6,18.0,0
64.6,14.1,28.7,35.1,0
156.8,55.9,45.7,16.8,1
65.5,56.1,18.8,22.9,0
116.9,55.8,15.8,11.0,0
94.4,21.2,51.6,20.8,1
25.6,34.3,42.0,18.3,0
31.9,19.0,29.7,24.1,0
202.1,78.8,18.0,24.2,1
135.1,45.5,9.9,28.5,0
69.1,36.6,4.2,28.0,0
62.1,29.1,51.4,19.6,0
37.3,29.4,36.4,14.3,0
100.4,38.3,4.7,15.0,1
40.3,27.4,11.2,21.8,0
55.7,19.8,18.2,20.9,0
44.1,36.9,17.3,21.5,0
